Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
JaKarr Sampson,PF,27,13,78,0.51,0.12,0.4,12.1
Dario Šarić,PF,26,10,181,0.574,0.438,0.3,16.7
Tomáš Satoranský,SG,29,16,320,0.62,0.342,0.288,14.3
Dennis Schröder,SG,27,29,902,0.541,0.27,0.333,12.6
Mike Scott,PF,32,11,193,0.456,0.792,0.063,3.9
Collin Sexton,SG,22,24,847,0.574,0.206,0.319,17.3
Landry Shamet,SG,23,26,494,0.544,0.728,0.204,9.1
Pascal Siakam,PF,26,25,895,0.541,0.248,0.305,17.6
Chris Silva,PF,24,6,53,0.805,0.111,1.333,16.2
Ben Simmons,PG,24,25,835,0.599,0.023,0.508,19.9
Anfernee Simons,SG,21,25,447,0.582,0.712,0.125,12.7
Deividas Sirvydis,SG,20,4,5,0,1,0,-9.8
Marcus Smart,PG,26,17,549,0.516,0.479,0.33,14.6
Dennis Smith Jr.,PG,23,7,85,0.428,0.364,0.303,8.5
Dennis Smith Jr.,PG,23,3,28,0.356,0.4,0.6,7
Dennis Smith Jr.,G,23,4,57,0.464,0.348,0.174,9.3
Ish Smith,PG,32,19,391,0.404,0.172,0.129,10.6
Jalen Smith,PF,20,8,50,0.391,0.412,0.118,7.7
Tony Snell,SG,29,15,193,0.575,0.725,0,7.3
Ray Spalding,F,23,2,19,0.41,0.25,0.5,0.9
Cassius Stanley,SG,21,8,23,0.489,0.286,0.714,6.9
Lamar Stevens,PF,23,18,265,0.461,0.195,0.351,9.2
Isaiah Stewart,C,19,26,466,0.556,0.037,0.275,14.1
Max Strus,SF,24,16,235,0.699,0.81,0.114,13.8
Edmond Sumner,SG,25,16,150,0.572,0.333,0.292,11.4
Jae'Sean Tate,SF,25,28,763,0.615,0.284,0.225,13.4
Jayson Tatum,SF,22,23,810,0.561,0.338,0.238,21.4
Jeff Teague,PG,32,23,397,0.443,0.292,0.231,8.2
Garrett Temple,SG,34,26,715,0.551,0.563,0.137,9.6
Tyrell Terry,PG,20,11,56,0.318,0.438,0.188,6
Daniel Theis,C,28,26,623,0.653,0.345,0.244,15.5
Brodric Thomas,SG,24,4,24,0.496,0.857,1,7.4
Matt Thomas,SG,26,14,84,0.588,0.75,0.143,10.5
Tristan Thompson,PF,29,26,586,0.533,0.014,0.37,13.6
Sindarius Thornwell,SG,26,10,51,0.505,0.5,0.167,8.7
Matisse Thybulle,SG,23,26,461,0.481,0.627,0.145,9.1
Xavier Tillman Sr.,PF,22,19,402,0.599,0.202,0.134,15
Obi Toppin,PF,22,20,240,0.561,0.446,0.12,12.7
Juan Toscano-Anderson,SG,27,16,349,0.647,0.347,0.187,12.4
Karl-Anthony Towns,C,25,9,298,0.633,0.309,0.316,23.9
Gary Trent Jr.,SG,22,26,785,0.585,0.578,0.114,14
P.J. Tucker,PF,35,26,780,0.511,0.652,0.152,5.5
Myles Turner,C,24,27,842,0.615,0.474,0.336,17
Jonas Valančiūnas,C,28,19,522,0.639,0.099,0.363,22.1
Denzel Valentine,SG,27,23,462,0.511,0.606,0.032,11.8
Jarred Vanderbilt,PF,21,27,517,0.602,0.018,0.451,16.7
Fred VanVleet,SG,26,28,1020,0.56,0.525,0.219,18.3
Devin Vassell,SF,20,26,451,0.529,0.5,0.167,12.5
Gabe Vincent,PG,24,18,292,0.462,0.612,0.147,5.5
Noah Vonleh,F,25,3,8,0,0.5,0,-20.9
Nikola Vučević,C,30,29,974,0.564,0.318,0.134,23.4
Dean Wade,PF,24,23,192,0.479,0.673,0.102,6.1
Moritz Wagner,C,23,14,191,0.662,0.333,0.463,15.4
Kemba Walker,PG,30,13,364,0.5,0.487,0.21,14.2
Lonnie Walker,SG,22,25,666,0.509,0.442,0.141,8.6
John Wall,PG,30,19,591,0.539,0.347,0.281,17.3
Brad Wanamaker,PG,31,29,465,0.467,0.388,0.371,9.2
T.J. Warren,SF,27,4,117,0.56,0.137,0.196,12
P.J. Washington,PF,22,24,691,0.516,0.342,0.281,12.8
Yuta Watanabe,SF,26,18,223,0.514,0.549,0.157,11.1
Tremont Waters,PG,23,9,90,0.36,0.444,0.296,5.4
Paul Watson,SF,26,13,42,0.929,0.786,0,23
Quinndary Weatherspoon,SG,24,5,24,0.34,0.2,0.4,-10.2
Russell Westbrook,PG,32,19,631,0.469,0.229,0.285,14.4
Coby White,PG,20,27,904,0.522,0.492,0.161,10.9
Derrick White,SG,26,8,189,0.508,0.512,0.174,15
Hassan Whiteside,C,31,20,296,0.617,0.009,0.451,22.2
Andrew Wiggins,PF,25,29,934,0.556,0.36,0.24,14
Grant Williams,PF,22,24,462,0.562,0.52,0.284,8
Kenrich Williams,PF,26,28,512,0.607,0.281,0.157,13.4
Lou Williams,PG,34,28,626,0.529,0.271,0.282,16.5
Patrick Williams,PF,19,26,720,0.553,0.275,0.28,9.8
Robert Williams,C,23,21,317,0.731,0.013,0.312,24.1
Zion Williamson,PF,20,27,880,0.659,0.038,0.496,27
D.J. Wilson,PF,24,10,94,0.488,0.622,0.054,8
Dylan Windler,SF,24,15,262,0.621,0.646,0.262,13.4
Cassius Winston,PG,22,6,44,0.597,0.7,0.2,9.8
James Wiseman,C,19,20,419,0.548,0.113,0.313,15.1
Christian Wood,C,25,17,530,0.634,0.285,0.24,24.1
Robert Woodard,SF,21,6,17,0.547,0.273,0.182,22.9
Delon Wright,SG,28,28,823,0.559,0.298,0.346,16.6
Thaddeus Young,PF,32,23,592,0.597,0.104,0.169,18.5
Trae Young,PG,22,26,901,0.598,0.349,0.577,22.9
Cody Zeller,C,28,15,361,0.569,0.133,0.242,18.2
Ivica Zubac,C,23,30,586,0.722,0.007,0.5,20.5
