Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Gary Clark,SF,26,26,545,0.423,0.853,0.069,5.3
Brandon Clarke,PF,24,20,543,0.539,0.162,0.185,16.6
Jordan Clarkson,SG,28,29,760,0.588,0.575,0.112,19
Amir Coffey,SG,23,19,154,0.637,0.525,0.225,10.1
John Collins,PF,23,28,884,0.635,0.261,0.228,19.3
Mike Conley,PG,33,23,674,0.593,0.536,0.223,19.8
Pat Connaughton,SG,28,25,475,0.57,0.672,0.063,13.2
Quinn Cook,PG,27,15,51,0.56,0.524,0.238,12.4
DeMarcus Cousins,C,30,25,506,0.511,0.552,0.281,15.1
Robert Covington,PF,30,26,816,0.511,0.71,0.097,10
Torrey Craig,SF,30,15,175,0.568,0.486,0.054,11.6
Jae Crowder,PF,30,24,670,0.54,0.771,0.154,11.5
Jarrett Culver,SG,21,16,339,0.518,0.279,0.297,10.7
Seth Curry,SG,30,22,637,0.652,0.471,0.196,14.1
Stephen Curry,PG,32,29,987,0.661,0.578,0.261,25.6
Anthony Davis,PF,27,23,755,0.588,0.151,0.339,24.7
Ed Davis,C,31,19,264,0.462,0,0.186,12.2
Terence Davis,SG,23,22,304,0.563,0.57,0.078,11.2
DeMar DeRozan,PF,31,25,835,0.603,0.143,0.503,21.7
Hamidou Diallo,SG,22,28,673,0.539,0.138,0.418,15.9
Gorgui Dieng,C,31,19,336,0.678,0.426,0.33,18.6
Spencer Dinwiddie,SG,27,3,64,0.536,0.438,0.375,10.1
Donte DiVincenzo,SG,24,28,732,0.536,0.552,0.085,12.7
Luka Dončić,PG,21,27,954,0.586,0.34,0.392,26.8
Luguentz Dort,SG,21,27,800,0.531,0.542,0.248,9.5
Damyean Dotson,SG,26,24,490,0.504,0.532,0.15,9.9
Devon Dotson,PG,21,1,10,0.5,0,0,6.7
Sekou Doumbouya,PF,20,24,314,0.441,0.382,0.225,6.1
PJ Dozier,SG,24,17,330,0.576,0.394,0.266,13.6
Goran Dragić,PG,34,17,451,0.566,0.4,0.241,13.4
Andre Drummond,C,27,25,722,0.5,0.021,0.339,20.9
Jared Dudley,PF,35,6,22,1.5,1,0,11.5
Kevin Durant,PF,32,19,679,0.652,0.315,0.404,25.1
Anthony Edwards,SG,19,29,817,0.479,0.403,0.163,10.5
Carsen Edwards,SG,22,13,134,0.551,0.545,0.164,12.2
CJ Elleby,SF,20,12,96,0.592,0.621,0.31,12.2
Wayne Ellington,SG,33,21,481,0.633,0.769,0.095,12.8
Joel Embiid,C,26,23,748,0.661,0.169,0.649,30.8
James Ennis,SF,30,20,438,0.622,0.369,0.301,12.7
Drew Eubanks,C,23,11,139,0.5,0,0.432,12.4
Dante Exum,SG,25,6,116,0.428,0.423,0.077,6.1
Tacko Fall,C,25,6,49,0.612,0,0.667,22.5
Derrick Favors,C,29,27,444,0.675,0.01,0.438,20.6
Cristiano Felício,C,28,6,38,0.731,0,2,18.1
Terrance Ferguson,SG,22,7,24,0,1,0,-5.9
Bruno Fernando,C,22,15,132,0.472,0.091,0.682,7.4
Yogi Ferrell,PG,27,2,40,0.434,0.429,0.095,12.7
Dorian Finney-Smith,PF,27,19,583,0.595,0.693,0.086,11
Malachi Flynn,PG,22,13,106,0.356,0.59,0.103,4.5
Bryn Forbes,SG,27,28,514,0.629,0.599,0.099,11.8
Trent Forrest,PG,22,4,13,0.347,1,1,9.2
Evan Fournier,SF,28,15,430,0.593,0.482,0.389,17.5
De'Aaron Fox,PG,23,26,860,0.564,0.304,0.372,19.9
Tim Frazier,PG,30,3,33,0.25,0.25,0,0.3
Markelle Fultz,PG,22,8,215,0.458,0.154,0.183,12.2
Wenyen Gabriel,PF,23,3,10,0,0.333,0,-1.4
Daniel Gafford,PF,22,23,330,0.689,0,0.507,17.6
Danilo Gallinari,PF,32,16,315,0.594,0.57,0.43,12.5
Langston Galloway,SG,29,22,245,0.65,0.575,0.219,13.2
Darius Garland,PG,21,21,679,0.533,0.288,0.104,12.9
Marc Gasol,C,36,29,579,0.55,0.57,0.25,10.3
Rudy Gay,PF,34,26,572,0.524,0.434,0.167,13.9
Paul George,SF,30,20,680,0.662,0.474,0.254,23.2
Taj Gibson,PF,35,8,109,0.53,0.25,0.3,10.6
Harry Giles,C,22,22,260,0.486,0.129,0.29,11.3
Shai Gilgeous-Alexander,SG,22,22,741,0.612,0.311,0.404,21.6
Anthony Gill,PF,28,10,65,0.425,0.7,0.4,7.9
Rudy Gobert,C,28,29,878,0.644,0.004,0.676,23.2
Brandon Goodwin,PG,25,22,280,0.431,0.51,0.235,8.1
Aaron Gordon,PF,25,19,552,0.528,0.394,0.376,14.9
Eric Gordon,SG,32,22,646,0.612,0.578,0.311,16.8
Devonte' Graham,PG,25,25,821,0.503,0.652,0.229,12.1
Jerami Grant,SF,26,28,1017,0.579,0.373,0.343,18.7
Danny Green,SF,33,29,824,0.55,0.757,0.063,9.7
Draymond Green,PF,30,24,695,0.431,0.331,0.262,10.3
JaMychal Green,PF,30,24,511,0.585,0.536,0.179,14.6
Javonte Green,SG,27,18,276,0.595,0.339,0.468,12.7
Jeff Green,PF,34,30,780,0.647,0.534,0.218,12.2
Josh Green,SG,20,17,212,0.514,0.333,0.306,6.4
Blake Griffin,PF,31,20,626,0.491,0.559,0.279,10
Kyle Guy,PG,23,10,79,0.408,0.5,0.25,11.8
Rui Hachimura,PF,22,19,555,0.549,0.255,0.378,12.9
Ashton Hagans,PG,21,2,4,0,0,0,-12.6
Tyrese Haliburton,PG,20,25,734,0.629,0.548,0.071,17.5
Josh Hall,SF,20,7,51,0.285,0.444,0.389,-2.3
R.J. Hampton,PG,19,21,180,0.473,0.34,0.128,7.3
Tim Hardaway Jr.,SG,28,27,825,0.579,0.586,0.181,14.2
James Harden,SG,31,24,903,0.648,0.5,0.434,24.2
James Harden,SG,31,8,290,0.613,0.533,0.444,22.7
James Harden,SG,31,16,613,0.668,0.482,0.429,24.9
Maurice Harkless,SF,27,10,109,0.551,0.8,0.2,4.6
Jared Harper,PG,23,2,5,0.532,0,2,-11.9
Montrezl Harrell,C,27,29,714,0.676,0.017,0.429,21.3
Gary Harris,SG,26,19,581,0.544,0.481,0.192,9.3
Jalen Harris,SG,22,2,4,0,0,0,-10.5
Joe Harris,SF,29,30,928,0.688,0.631,0.073,14.9
Tobias Harris,PF,28,26,896,0.615,0.27,0.225,19.7
Shaquille Harrison,SG,27,16,54,0.393,0.053,0.316,7
Josh Hart,SF,25,28,785,0.577,0.59,0.231,12.5
Isaiah Hartenstein,C,22,18,157,0.568,0,0.491,19.1
Jaxson Hayes,C,20,21,246,0.662,0,0.473,15.5
Killian Hayes,PG,19,7,148,0.334,0.426,0.043,-1.4
Gordon Hayward,SF,30,26,922,0.598,0.313,0.273,18.7
Juan Hernangómez,PF,25,13,242,0.511,0.587,0.187,10.5
Willy Hernangómez,C,26,13,222,0.578,0.076,0.348,20.6
Tyler Herro,SG,21,20,687,0.535,0.42,0.169,12.1
Buddy Hield,SG,28,27,940,0.54,0.736,0.123,10.7
George Hill,PG,34,14,369,0.63,0.475,0.208,16
Solomon Hill,PF,29,28,532,0.494,0.75,0.083,6.4
Nate Hinton,SG,21,6,19,0.288,0.385,0.154,-6.5
Aaron Holiday,PG,24,29,576,0.464,0.425,0.132,7.1
Jrue Holiday,PG,30,23,747,0.593,0.371,0.144,19.9
Justin Holiday,SG,31,29,935,0.628,0.676,0.174,12.4
Richaun Holmes,C,27,25,739,0.677,0.024,0.276,18.2
Rodney Hood,SF,28,23,436,0.427,0.359,0.046,5
Al Horford,C,34,19,536,0.547,0.425,0.073,17.6
Talen Horton-Tucker,SG,20,25,413,0.521,0.287,0.187,11.7
Danuel House,SF,27,17,474,0.496,0.604,0.216,8.9
Dwight Howard,C,35,29,483,0.575,0.073,0.782,13.9
Markus Howard,SG,21,14,48,0.259,0.724,0,-6.4
Kevin Huerter,SG,22,28,890,0.539,0.537,0.08,11.9
Elijah Hughes,SF,22,6,27,0.477,0.667,0.267,9.8
De'Andre Hunter,SF,23,18,579,0.64,0.39,0.348,17.5
Chandler Hutchison,SF,24,7,64,0.344,0.167,0.111,0.5
Serge Ibaka,C,31,29,701,0.593,0.287,0.164,18.2
Andre Iguodala,SF,37,26,552,0.492,0.766,0.099,8.9
Joe Ingles,SF,33,25,665,0.694,0.675,0.173,16.7
Brandon Ingram,SF,23,28,974,0.592,0.356,0.308,20.4
Kyrie Irving,PG,28,20,707,0.647,0.346,0.213,25.3
Wesley Iwundu,SF,26,17,232,0.367,0.5,0.217,3.6
Frank Jackson,PG,22,7,39,0.344,0.625,0,1.5
Josh Jackson,SG,23,26,627,0.53,0.42,0.325,12.2
Justin Jackson,SF,25,18,324,0.569,0.509,0.155,12.1
Reggie Jackson,SG,30,27,562,0.534,0.462,0.196,13.3
Justin James,SF,24,8,50,0.36,0.267,0.467,6.6
LeBron James,PG,36,29,1006,0.6,0.355,0.318,24.2
DaQuan Jeffries,SG,23,3,41,0.25,0.5,0,3.5
